wallet,native,delegated,total
3PKhzE9wuEkGPHHu2sNCvG86xNtDJduAcyBPXpE6cSNt,10393642.749205,877905.3447749987,11271548.09398
7pPJt2xoEoPy8x8Hf2D6U6oLfNa5uKmHHRwkENVoaxmA,1727.78462,8637366.804923,8639094.589543
Fywb7YDCXxtD7pNKThJ36CAtVe23dEeEPf7HqKzJs1VG,3374735.150474,0,3374735.150474
kruHL3zJ1Mcbdibsna5xM6yMp7PZZ4BsNTpj2UMgvZC,30998.881087,1337237.81837,1368236.699457
37TGrYNu56AxaeojgtAok8tQAsBSxGhvFKXqCYFAbBrA,521397.573938,34911.484921999974,556309.05886
2qYMBZwJhu8zpyEK29Dy5Hf9WrWWe1LkDzrUDiuVzBnk,17926.482495,365560.814357,383487.296852
6aJo6zRiC5CFnuE7cqw4sTtHHknrr69NE7LKxPAfFY9U,51765.187387,268489.212881,320254.400268
Fgv1zrwB6VF3jc45PaNT5t9AnSsJrwb8r7aMNip5fRY1,200000,0,200000
9WW4oiMyW6A9oP4R8jvxJLMZ3RUss18qsM4yBBHJPj94,146693.845135,0,146693.845135
GJdRQcsyz49FMM4LvPqpaM2QA3yWFr8WamJ95hkwCBAh,5665.5806840000005,138252.61524299998,143918.195927
BPmVp1b4vbT2YUHfcFrtErA67nNsJ5LGAJ2BLg5ds9kz,29484.464683,0,29484.464683
4pT6ESaMQTgpMs2ZZ81pFF8BieGtY9x4CCK2z6aoYoe4,12625.580931,0,12625.580931
ADjG92YTwGUxTB3r9SY6Gip4q4xoUQdKq3DA1actaDUd,4879,0,4879
9RSpFWGntExNNa6puTVtynmrNAJZRso6w4gFWuMr1o3n,88,0,88
